theme,symbol,clean_symbol
Auto Ancillary,ARE&M.NS,ARE&M
Auto Ancillary,BHARATFORG.NS,BHARATFORG
Auto Ancillary,BOSCHLTD.NS,BOSCHLTD
Auto Ancillary,CIEINDIA.NS,CIEINDIA
Auto Ancillary,CRAFTSMAN.NS,CRAFTSMAN
Auto Ancillary,ENDURANCE.NS,ENDURANCE
Auto Ancillary,EXIDEIND.NS,EXIDEIND
Auto Ancillary,GABRIEL.NS,GABRIEL
Auto Ancillary,LUMAXTECH.NS,LUMAXTECH
Auto Ancillary,MINDACORP.NS,MINDACORP
Auto Ancillary,MOTHERSON.NS,MOTHERSON
Auto Ancillary,MSUMI.NS,MSUMI
Auto Ancillary,SANSERA.NS,SANSERA
Auto Ancillary,SCHAEFFLER.NS,SCHAEFFLER
Auto Ancillary,SONACOMS.NS,SONACOMS
Auto Ancillary,SUNDRMFAST.NS,SUNDRMFAST
Auto Ancillary,SUPRAJIT.NS,SUPRAJIT
Auto Ancillary,TALBROAUTO.NS,TALBROAUTO
Auto Ancillary,TIINDIA.NS,TIINDIA
Auto Ancillary,UNOMINDA.NS,UNOMINDA
Auto Ancillary,ZFCVINDIA.NS,ZFCVINDIA
Tyres & Rubber Products,APOLLOTYRE.NS,APOLLOTYRE
Tyres & Rubber Products,BALKRISIND.NS,BALKRISIND
Tyres & Rubber Products,CEATLTD.NS,CEATLTD
Tyres & Rubber Products,GOODYEAR.NS,GOODYEAR
Tyres & Rubber Products,JKTYRE.NS,JKTYRE
Tyres & Rubber Products,MODIRUBBER.NS,MODIRUBBER
Tyres & Rubber Products,MRF.NS,MRF
Tyres & Rubber Products,TOLINS.NS,TOLINS
Tyres & Rubber Products,TVSSRICHAK.NS,TVSSRICHAK
Tyres & Rubber Products,VIAZ.NS,VIAZ
Sugar,AVADHSUGAR.NS,AVADHSUGAR
Sugar,BAJAJHIND.NS,BAJAJHIND
Sugar,BALRAMCHIN.NS,BALRAMCHIN
Sugar,DALMIASUG.NS,DALMIASUG
Sugar,DBOL.NS,DBOL
Sugar,DCMNVL.NS,DCMNVL
Sugar,DHAMPURSUG.NS,DHAMPURSUG
Sugar,EIDPARRY.NS,EIDPARRY
Sugar,RENUKA.NS,RENUKA
Sugar,TRIVENI.NS,TRIVENI
Sugar,UGARSUGAR.NS,UGARSUGAR
Sugar,UTTAMSUGAR.NS,UTTAMSUGAR
Paper,ANDHRAPAP.NS,ANDHRAPAP
Paper,EMAMIPAP.NS,EMAMIPAP
Paper,JKPAPER.NS,JKPAPER
Paper,KUANTUM.NS,KUANTUM
Paper,ORIENTPPR.NS,ORIENTPPR
Paper,SESHAPAPER.NS,SESHAPAPER
Paper,STARPAPER.NS,STARPAPER
Paper,TNPL.NS,TNPL
